english,transliteration,arabic,audioUrl
good,,مزْيان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-01.mp3
bad,,خيْب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-02.mp3
hard,,قاصح,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-03.mp3
soft,,رْطب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-04.mp3
"difficult, hard",,صْعيب (صْعاب),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-05.mp3
easy,,ساهل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-06.mp3
important,,مُهِمّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-07.mp3
necessary,,ضروري,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-08.mp3
strong,,صْحيح (صْحاح),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-09.mp3
weak,,ضْعيف (ضْعاف),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-10.mp3
deep,,عميق,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-11.mp3
deep,,غارق,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-12.mp3
shallow,,ما غارقْش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-13.mp3
long; tall (person),,طْويْل (طْوال),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-14.mp3
He’s very tall.,,هُوَّ طْويْل بزّاف.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-15.mp3
short,,قْصيْر (قْصار),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-16.mp3
She’s quite short.,,هِيّ قْصيْرة بزّاف.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-17.mp3
"old, ancient",,قْديم (قْدام),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-18.mp3
new,,جْديد (جْداد),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-19.mp3
"clear, obvious",,واضح,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-20.mp3
His answer was very clear.,,الجواب دْيالو كان واضح.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-21.mp3
unclear,,ما واضحْش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-22.mp3
clean,,نْقي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-23.mp3
dirty,,مُسّخ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-24.mp3
heavy,,ثْقيل (ثْقال),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-25.mp3
light,,خْفيف (خْفاف),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-26.mp3
ready,,واجد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-27.mp3
Are you ready yet?,,نْتا واجد؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-28.mp3
I’m ready!,,آنا واجد.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-29.mp3
right,,عنْدو الصّحّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-30.mp3
"Yes, you’re right!",,آه، عنْدك الصّحّ!,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-31.mp3
wrong,,غالْط,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-32.mp3
I think you’re wrong (about that).,,بان لِيّا راك غالط.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-33.mp3
slow,,تْقيل (تْقال),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-34.mp3
"fast, quick",,خْفيف (خْفاف),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-35.mp3
hot,,سْخون,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-36.mp3
warm,,دافي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-37.mp3
"cool, cold",,بارد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-38.mp3
famous,,مشْهور,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-39.mp3
independent,,مُسْتقِلّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-40.mp3
busy,,مشْغول,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-41.mp3
"empty; available, free",,مْسالي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-42.mp3
Are you free tomorrow?,,نْتا مْسالي غدّا؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-43.mp3
full,,عامر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-44.mp3
useful,,مُفيد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-45.mp3
useless,,بْلا فائِدة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-46.mp3
"careful, cautious",,راد بالو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-47.mp3
careless,,ما مْسوّقْش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-48.mp3
absent-minded,,سارح,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-49.mp3
open,,محْلول,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-50.mp3
closed,,مسْدود,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-51.mp3
wet,,سارد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-52.mp3
dry,,ناشف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-53.mp3
quiet,,ساكت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-54.mp3
noisy,,فيه الصّْداع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-55.mp3
rough,,قاصْح,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-56.mp3
smooth,,رْطب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-57.mp3
narrow; tight,,مْضيّق,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-58.mp3
wide; loose,,واسع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-59.mp3
dark,,مْظلّم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-60.mp3
"bright, light",,مْضوّي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-61.mp3
sharp,,مْقمْقم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-62.mp3
blunt,,ما مْقمْقمْش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-63.mp3
additional,,زايْد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-64.mp3
the same __,,نفْس الـ __,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-65.mp3
similar,,بْحال بْحال,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-66.mp3
different,,ماشي بْحال بْحال,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-67.mp3
possible,,مُمْكِن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-68.mp3
impossible,,مايْمْكنْش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-69.mp3
"probable, likely",,بْحال والو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav56-70.mp3