english,transliteration,arabic
English,Transliteration,Standard Arabic
animal,Hayawaan,حيوان
animals,Hayawaanaat,حيوانات
cat,qiTTa,قطّة
cats,qiTaT,قطط
dog,kalb,كلب
dogs,kilaab,كلاب
cow,baqara,بقرة
cows,baqaraat,بقرات
bull,toor,ثور
bulls,tiiraan,ثيران
calf,3ijl,عجل
calves,3ujuul,عجول
buffalo,jaamuus,جاموس
buffalo,jawaamiis,جواميس
cattle,bahiima,بهيمة
cattles,bahaa’im,بهائم
sheep,ġanam,غنم
sheep,aġnaam,أغنام
lamb,xaruuf,خروف
lambs,xiraaf,خراف
donkey,Himaar,حمار
donkeys,Hamiir,حمير
horse,HiSaan,حصان
horses,HuSun,حصن
camel,jamal,جمل
camels,jimaal,جمال
goat,maa3iz,ماعز
goats,mawaa3iz,مواعز
pig,xinziir,خنزير
pigs,xanaaziir,خنازير
rabbit,arnab,أرنب
rabbits,araanib,ارانب
mice,fa'r,فأر
mice,fi'raan,فئران
rat,jurad,جرذ
rats,jirdaan,جرذان
bird,Taa'ir,طائر
birds,Taa'iraat,طائرات
small bird,3uSfuur,عصفور
small birds,3aSaafiir,عصافير
parrot,babġaa',ببغاء
parrots,babġaawaat,ببغاوات
rooster,diik,ديك
roosters,duyuuk,ديوك
turkey,diik ruumi,ديك رومي
peacock,Taawuus,طاووس
peacocks,Tawaawiis,طواويس
stork,laqlaq,لقلق
storks,laqaaliq,لقالق
sparrow,3uSfuur duury,عصفور دوري
sparrows,3aSafiir,عصافير
crow,ġuraab,غراب
crows,ġirbaan,غربان
nightingale,bulbul,بلبل
nightingales,balaabil,بلابل
falcon,Saqr,صقر
falcons,Suquur,صقور
eagle,nasr,نسر
eagles,nusuur,نسور
reptile,zaaHif,زاحف
reptiles,zawaaHif,زواحف
amphibian,barmaa'iyya,برمائية
amphibians,barmaa'iyyaat,برمائيات
snake,tu3baan,ثعبان
snakes,ta3aabiin,ثعابين
Sarahan horned viper,Hayya qarnaa',حية قرناء
turtle,sulHufaah,سلحفاة
turtles,salaaHif,سلاحف
lizard,siHliyya,سحلية
lizards,saHaalin,سحال
frog,Difdi3,ضفدع
frogs,Dafaadi3,ضفادع
crocodile,timsaaH,تمساح
crocodiles,tamaasiiH,تماسيح
snail,Halazuun,حلزون
snails,Halazuunaat,حلزونات
lion,asad,أسد
lions,usuud,اسود
giraffe,zaraafa,زرافة
giraffes,zaraafaat,زرافات
zebra,Himaar waHši,حمار وحشي
kangaroo,kanġar,كنغر
hyena,Dab3,ضبع
hyenas,Dibaa3,ضباع
panther,fahd,فهد
panthers,fuhuud,فهود
wolf,di'b,ذئب
wolves,di'aab,ذئاب
bear,dubb,دبّ
bears,dibaba,دببة
tiger,namir,نمر
tigers,numuur,نمور
elephant,fiil,فيل
elephants,fiyala,فيلة
monkey,qird,قرد
monkeys,quruud,قرود
bat,xuffaaš,خفاش
bats,xafaafiiš,خفافيش
squirrel,sinjaab,سنجاب
fox,ta3lab,ثعلب
foxes,ta3aalib,ثعالب
deer,ġazaal,غزال
deer,ġizla,غزلة
fish,samak,سمك
fish,asmaak,أسماك
whale,Huut,حوت
whales,Hiitaan,حيتان
shark,qirš,قرش
dolphin,duxas,دخس
dolphins,darafiil,درافيل
octopus,uxTubuuT,أخطبوط
octopuses,uxTubuuTaat,اخطبوطات
squid,Habbaar,حبّار
swordfish,abu seif,أبو سيف
shrimp,ruubiyaan,روبيان
lobster,saraTaan baHri,سرطان بحري
crab,saraTaan,سرطان
crabs,saraTaanaat,سرطانات
walrus,faZZ,فظّ
walruses,afZaaZ,أفظاظ
salmon,salamuun,سالمون
catfish,qarmuuT,قرموط
catfish,qaraamiiT,قراميط
tuna,tunn,تنّ
oysters,maHaar,محار
insect,Hašara,حشرة
insects,Hašaraat,حشرات
cockroach,SurSuur,صرصور
cockroaches,SaraSiir,صراصير
flea,burġuut,برغوث
fleas,baraaġiit,براغيث
beetle,xunfusaa',خنفساء
beetles,xanaafis,خنافس
wasp,dabbuur,دبّور
wasps,dabaabiir,دبابير
spider,3ankabuut,عنكبوت
spiders,3anaakib,عناكب
scorpion,3aqraba,عقربة
scorpions,3aqaarib,عقارب
tail,deil,ذيل
tails,duyuul,ذيول
hoof,Haafir,حافر
hooves,Hawaafir,حوافر
claw,maxlab,مخلب
claws,maxaalib,مخالب
fur,farwa,فروة
furs,faraawi,فراوي
beak,minqaar,منقار
beaks,manaaqiir,مناقير
wing,jinaaH,جناح
wings,ajniHa,اجنحة
fin,za3nifa,زعنفة
fins,za3aanif,زعانف