english,transliteration,arabic
English,Transliteration,Standard Arabic
body,jism,جسم
bodies,ajsaam,اجسام
part,3uDw,عضو
parts,a3Daa',اعضاء
gland,ġudda,غدة
glands,ġudad,غدد
skin,jild,جلد
skins,juluud,جلود
head,ra's,رأس
heads,ru'uus ,رؤوس
skull,jumjuma,جمجمة
skulls,jamaajim,جماجم
brain,dimaaġ,دماغ
brains,admiġa,ادمغة
hair,ša3r,شَعر
bangs,quSSa,قصّة
straight ,naa3im,ناعم
curly,muja33ad,مجعد
wavy,mutamawwij,متموج
dry,jaaf,جاف
coarse,xašin,خشن
greasy,duhni,دهني
thick,samiik,سميك
thinning ,xafiif,خفيف
mustache,šaarib,شارب
mustaches,šawaarib,شوارب
beard,liHya,لحية
beards,luHa,لحى
bald,aSla3,أصلع
completely bald,zalabaTTa,زلبطّة
wig,ša3r musta3aar,شعر مستعار
dandruff,qišra,قشرة
face,wajh,وجه
faces,wujuuh,وجوه
forehead,jabiin,جبين
foreheads,jubun,جبن
temple,Sudġ,صدغ
temples,aSdaaġ,اصداغ
cheek,xudd,خد
cheeks,xuduud,خدود
pimple,dummal,دمّل
pimples,damaamiil,دماميل
acne,Habb iš-šabaab,حب الشباب
mole,xaal,خال
moles,xiilaan,خيلان
freckles,namaš,نمش
eye,3ein,عين
eyes,3uyuun ,عيون
eyelid,jafn,جفن
eyelids,jufuun,جفون
eyelash,rimš,رمش
eyelashes,rumuuš,رموش
pupil,bu'bu',بؤبؤ
iris,quzaHiya,قزحية
cornea,qarniya,قرنية
ear,udun,اذن
ears,aadaan,آذان
nose,anf,أنف
noses,unuuf,انوف
nostril,minxaar,منخار
nostrils,manaaxiir,مناخير
mouth,fam,فم
mouths,afwaah,افواه
tonsils,loozataan,لوزتان
saliva,lu3aab,لعاب
lip,šafa,شفة
lips,šifaah,شفاه
upper,3ulwii,علوي
lower,suflii,سفلي
tongue,lisaan,لسان
tongues,alsina,السنة
tooth,sinn,سن
teeth,asnaan,اسنان
gums,litta,لثة
chin,daqan,ذقن
chins,duquun,ذقون
jaw,fakk,فك
jaws,fukuuk,فكوك
neck,raqaba,رقبة
necks,riqaab,رقاب
nape of the neck,qafaa,قفا
nape of the necks,aqfiya,اقفية
throat,Hanjara,حنجرة
throats,Hanaajir,حناجر
esophagus,mari',مرئ
esophaguses,amri'a | muruu',امرائة  |  مروء
collarbone,tarquwa,ترقوة
collarbones,taraaq,تراق
shoulder,katif,كتف
shoulders,aktaaf,اكتاف
chest,Sadr,صدر
chests,Suduur,صدور
bust,tady,ثدي
busts,atdaa',اثداء
nipple,Halama,حلمة
nipples,Halamaat,حلمات
arm,diraa3,ذراع
arms,adru3,اذرع
armpit,ibT,ابط
armpits,aabaaT,آباط
elbow,mirfaq,مرفق
elbows,maraafiq,مرافق
forearm,saa3id,ساعد
forearms,sawaa3id,سواعد
hand,yad,يد
hands,eid,ايد
wrist,rusġ,رسغ
wrists,arsaaġ,ارساغ
finger/toe*,iSba3,اصبع
finger/toe*s,aSaabi3,اصابع
thumb/big toe,ibhaam,ابهام
thumb/big toes,abaahiim,اباهيم
index finger,sabbaaba,سبابة
index fingers,sabbaabaat,سبابات
middle finger,wusTa,وسطى
middle fingers,wusaT,وسط
ring finger,binSir,بنصر
ring fingers,banaaSir,بناصر
pinky finger,xinSir,خنصر
pinky fingers,xanaaSir,خناصر
knuckle,mafSil,مفصل
knuckles,mafaaSil,مفاصل
fingernail/toenail,Zufr,ظفر
fingernail/toenails,aZfaar | aZaafir,اظفار  |  اظافر
abdomen,baTn,بطن
abdomen,buTuun,بطون
stomach,ma3ida,معدة
stomaches,mi3ad,معد
navel,surra,سرة
navels,surar,سرر
waist,xaSr,خصر
waists,xuSuur,خصور
hip,ridf,ردف
hips,ardaaf,ارداف
leg,rijl,رجل
legs,arjul,ارجل
thigh,faxid,فخذ
thighs,afxaad,افخاذ
knee,rukba,ركبة
knees,rukab,ركب
ankle,kaaHil,كاحل
ankles,kawaaHil,كواحل
anklebone,bizz,بزّ
anklebones,bizaaz ir-rigl,بزاز الرجل
heel,3aqib,عقب
heels,a3qaab,اعقاب
foot,qadam,قدم
feet,aqdaam,اقدام
back,Zahr,ظهر
backs,Zuhuur,ظهور
buttocks,ridfaan,ردفان
rear end,mo'axara,مؤخّرة
lung,ri'a,رئه
lungs,ri'aat,رئات
heart,qalb,قلب
hearts,quluub,قلوب
rib,Dila3,ضلع
ribs,Duluu3,ضلوع
liver,kabd,كبد
livers,kubuud,كبود
kidney,kulya,كلية
kidneys,kula,كلى
colon,quuluun,قولون
colons,quuluunaat,قولونات
pancreas,bankriiaas,بنكرياس
bladder,mataana,مثانة
bladders,mataanaat,مثانات
appendix,zaa'ida,زائدة
appendices,zawaa'id duudiya,زوائد دودية
blood,damm,دمّ
blood,dimaa',دماء
artery,širyaan,شريان
arteries,šaraayiin,شرايين
vein,3irq,عرق
veins,3uruuq,عروق
jugular vein,wariid,وريد
jugular veins,wurud,ورد
muscle,3aDala,عضلة
muscles,3aDalaat,عضلات
bone,3aZm,عظم
bones,3iZaam,عظام
hearing,sam3,سمع
breath,nafas,نفس
breaths,anfaas,أنفاس
to tickle,zaġzaġ - yizaġzaġ ,زغزغ - يزغزغ 
hiccups,fuwaaq,فواق
to fart/break wind silently,fisi - yifsi ,فسي - يفسي 
a silent fart,fasya,فسى
a silent farts,fasyaat,فسيات
a loud fart,DarTa,ضرطة
a loud farts,ZarTaat,ظرطات
fat,samiin,سمين
thin,naHiif,نحيف
tall,Tawiil,طويل
talls,Tuwaal,طوال
short,qaSiir,قصير
shorts,quSaar,قصار
beautiful ,jamiil ,جميل 
handsome,wasiim,وسيم
ugly,baši3,بشع
uglies,weHšiin,وحشين
dye,Sibġa,صبغة
tattoo,wašm,وشم
tattoos,wušuum,وشوم
scar,nadba,ندبة
scars,andaab,أنداب